domain,tld,label,quick_usd,realistic_usd,stretch_usd,category,confidence,listing_score
mx.go,go,mx,351.0,540.0,972.0,short,0.55,553.2
au.dao,dao,au,351.0,540.0,972.0,short,0.55,553.2
au.888,888,au,351.0,540.0,972.0,short,0.55,553.2
au.zil,zil,au,351.0,540.0,972.0,short,0.55,553.2
nl.dao,dao,nl,351.0,540.0,972.0,short,0.55,553.2
ru.nft,nft,ru,351.0,540.0,972.0,short,0.55,553.2
ng.polygon,polygon,ng,351.0,540.0,972.0,short,0.55,553.2
ng.dao,dao,ng,351.0,540.0,972.0,short,0.55,553.2
ng.zil,zil,ng,351.0,540.0,972.0,short,0.55,553.2
mx.polygon,polygon,mx,351.0,540.0,972.0,short,0.55,553.2
mx.zil,zil,mx,351.0,540.0,972.0,short,0.55,553.2
ng.blockchain,blockchain,ng,351.0,540.0,972.0,short,0.55,553.2
pk.polygon,polygon,pk,351.0,540.0,972.0,short,0.55,553.2
pk.go,go,pk,351.0,540.0,972.0,short,0.55,553.2
ru.888,888,ru,351.0,540.0,972.0,short,0.55,553.2
pk.blockchain,blockchain,pk,351.0,540.0,972.0,short,0.55,553.2
pk.888,888,pk,351.0,540.0,972.0,short,0.55,553.2
ly.888,888,ly,351.0,540.0,972.0,short,0.55,553.2
ly.nft,nft,ly,351.0,540.0,972.0,short,0.55,553.2
es.x,x,es,351.0,540.0,972.0,short,0.55,553.2
